gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
0.3,1e-05,7.3510218e-11
0.3,2.5e-05,1.8374885e-10
0.3,4.75e-05,3.4904441e-10
0.3,8.125e-05,5.9684126e-10
0.3,0.000131875,9.6819471e-10
0.3,0.0002078125,1.5244304e-09
0.3,0.00032171875,2.3569419e-09
0.3,0.00049257812,3.6014478e-09
0.3,0.00074886719,5.4583729e-09
0.3,0.0011333008,8.2211509e-09
0.3,0.0017099512,1.2313607e-08
0.3,0.0025749268,1.8334991e-08
0.3,0.0038723901,2.7104335e-08
0.3,0.0058185852,3.9681506e-08
0.3,0.0087378778,5.732025e-08
0.3,0.013116817,8.1299033e-08
0.3,0.019685225,1.126762e-07
0.3,0.029537838,1.5254343e-07
0.3,0.039537838,1.8838894e-07
0.3,0.049537838,2.2341758e-07
0.3,0.059537838,2.6046565e-07
0.3,0.069537838,3.0151594e-07
0.3,0.079537838,3.4798266e-07
0.3,0.089537838,4.0099627e-07
0.3,0.099537838,4.6158881e-07
0.3,0.10953784,5.3077654e-07
0.3,0.11953784,6.0960094e-07
0.3,0.12953784,6.9916448e-07
0.3,0.13953784,8.006539e-07
0.3,0.14953784,9.1534489e-07
0.3,0.15953784,1.0445962e-06
0.3,0.16953784,1.1898391e-06
0.3,0.17953784,1.3525653e-06
0.3,0.18953784,1.5343158e-06
0.3,0.19953784,1.7366654e-06
0.3,0.20953784,1.9612077e-06
0.3,0.21953784,2.2095384e-06
0.3,0.22953784,2.4832377e-06
0.3,0.23953784,2.7838522e-06
0.3,0.24953784,3.1128771e-06
0.3,0.25953784,3.4717399e-06
0.3,0.26953784,3.8617858e-06
0.3,0.27953784,4.2842658e-06
0.3,0.28953784,4.7403239e-06
0.3,0.29953784,5.2309897e-06
0.3,0.30953784,5.7571723e-06
0.3,0.31953784,6.3196573e-06
0.3,0.32953784,6.9191047e-06
0.3,0.33953784,7.5560507e-06
0.3,0.34953784,8.2309126e-06
0.3,0.35953784,8.9439915e-06
0.3,0.36953784,9.6954829e-06
0.3,0.37953784,1.0485486e-05
0.3,0.38953784,1.1314005e-05
0.3,0.39953784,1.2180966e-05
0.3,0.40953784,1.3086219e-05
0.3,0.41953784,1.4029549e-05
0.3,0.42953784,1.501069e-05
0.3,0.43953784,1.6029328e-05
0.3,0.44953784,1.7085105e-05
0.3,0.45953784,1.8177626e-05
0.3,0.46953784,1.9306466e-05
0.3,0.47953784,2.0471173e-05
0.3,0.48953784,2.1671273e-05
0.3,0.49953784,2.2906279e-05
0.3,0.50953784,2.4175685e-05
0.3,0.51953784,2.5478978e-05
0.3,0.52953784,2.6815631e-05
0.3,0.53953784,2.8185118e-05
0.3,0.54953784,2.9586907e-05
0.3,0.55953784,3.1020464e-05
0.3,0.56953784,3.2485254e-05
0.3,0.57953784,3.3980743e-05
0.3,0.58953784,3.55064e-05
0.3,0.59953784,3.7061693e-05
0.3,0.60953784,3.8646093e-05
0.3,0.61953784,4.0259079e-05
0.3,0.62953784,4.1900125e-05
0.3,0.63953784,4.3568722e-05
0.3,0.64953784,4.5264362e-05
0.3,0.65953784,4.6986529e-05
0.3,0.66953784,4.8734718e-05
0.3,0.67953784,5.0508415e-05
0.3,0.68953784,5.230713e-05
0.3,0.69953784,5.413037e-05
0.3,0.70953784,5.5977642e-05
0.3,0.71953784,5.7848451e-05
0.3,0.72953784,5.9742319e-05
0.3,0.73953784,6.1658758e-05
0.3,0.74953784,6.3597291e-05
0.3,0.75953784,6.5557455e-05
0.3,0.76953784,6.7538789e-05
0.3,0.77953784,6.9540834e-05
0.3,0.78953784,7.1563135e-05
0.3,0.79953784,7.3605242e-05
0.3,0.80953784,7.5666695e-05
0.3,0.81953784,7.7747076e-05
0.3,0.82953784,7.9845925e-05
0.3,0.83953784,8.1962814e-05
0.3,0.84953784,8.4097322e-05
0.3,0.85953784,8.6249013e-05
0.3,0.86953784,8.841748e-05
0.3,0.87953784,9.0602302e-05
0.3,0.88953784,9.280306e-05
0.3,0.89953784,9.5019344e-05
0.3,0.90953784,9.7250747e-05
0.3,0.91953784,9.9496863e-05
0.3,0.92953784,0.00010175729
0.3,0.93953784,0.00010403163
0.3,0.94953784,0.00010631949
0.3,0.95953784,0.00010862049
0.3,0.96953784,0.00011093425
0.3,0.97953784,0.00011326038
0.3,0.98953784,0.00011559853
0.3,0.99953784,0.00011794831
0.3,1,0.00011805719

