gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
0.6,1e-05,1.9101051e-09
0.6,2.5e-05,4.7748518e-09
0.6,4.75e-05,9.0710156e-09
0.6,8.125e-05,1.5513057e-08
0.6,0.000131875,2.5171049e-08
0.6,0.0002078125,3.9646407e-08
0.6,0.00032171875,6.1332776e-08
0.6,0.00049257812,9.3801236e-08
0.6,0.00074886719,1.4236407e-07
0.6,0.0011333008,2.1488851e-07
0.6,0.0017099512,3.2294503e-07
0.6,0.0025749268,4.8336738e-07
0.6,0.0038723901,7.2023182e-07
0.6,0.0058185852,1.0670419e-06
0.6,0.0087378778,1.5683591e-06
0.6,0.013116817,2.279007e-06
0.6,0.019685225,3.2572711e-06
0.6,0.029537838,4.5479323e-06
0.6,0.039537838,5.6751333e-06
0.6,0.049537838,6.656744e-06
0.6,0.059537838,7.5288691e-06
0.6,0.069537838,8.3233266e-06
0.6,0.079537838,9.0667402e-06
0.6,0.089537838,9.7803122e-06
0.6,0.099537838,1.0480145e-05
0.6,0.10953784,1.117793e-05
0.6,0.11953784,1.1881843e-05
0.6,0.12953784,1.2597507e-05
0.6,0.13953784,1.3328869e-05
0.6,0.14953784,1.4078862e-05
0.6,0.15953784,1.4849817e-05
0.6,0.16953784,1.5643692e-05
0.6,0.17953784,1.6462206e-05
0.6,0.18953784,1.7306932e-05
0.6,0.19953784,1.8179367e-05
0.6,0.20953784,1.9080974e-05
0.6,0.21953784,2.0013189e-05
0.6,0.22953784,2.0977424e-05
0.6,0.23953784,2.1975038e-05
0.6,0.24953784,2.3007315e-05
0.6,0.25953784,2.4075435e-05
0.6,0.26953784,2.5180448e-05
0.6,0.27953784,2.6323262e-05
0.6,0.28953784,2.7504633e-05
0.6,0.29953784,2.8725175e-05
0.6,0.30953784,2.998537e-05
0.6,0.31953784,3.1285577e-05
0.6,0.32953784,3.2626041e-05
0.6,0.33953784,3.4006892e-05
0.6,0.34953784,3.5428155e-05
0.6,0.35953784,3.6889752e-05
0.6,0.36953784,3.8391505e-05
0.6,0.37953784,3.9933157e-05
0.6,0.38953784,4.151436e-05
0.6,0.39953784,4.3134681e-05
0.6,0.40953784,4.4793614e-05
0.6,0.41953784,4.6490581e-05
0.6,0.42953784,4.8224944e-05
0.6,0.43953784,4.9996019e-05
0.6,0.44953784,5.1803081e-05
0.6,0.45953784,5.3645373e-05
0.6,0.46953784,5.5522129e-05
0.6,0.47953784,5.7432569e-05
0.6,0.48953784,5.9375908e-05
0.6,0.49953784,6.1351359e-05
0.6,0.50953784,6.335813e-05
0.6,0.51953784,6.5395454e-05
0.6,0.52953784,6.7462557e-05
0.6,0.53953784,6.9558693e-05
0.6,0.54953784,7.1683129e-05
0.6,0.55953784,7.3835146e-05
0.6,0.56953784,7.6014041e-05
0.6,0.57953784,7.8219129e-05
0.6,0.58953784,8.0449742e-05
0.6,0.59953784,8.2705229e-05
0.6,0.60953784,8.4984985e-05
0.6,0.61953784,8.7288408e-05
0.6,0.62953784,8.9614792e-05
0.6,0.63953784,9.1963528e-05
0.6,0.64953784,9.4334219e-05
0.6,0.65953784,9.6726276e-05
0.6,0.66953784,9.9139173e-05
0.6,0.67953784,0.00010157248
0.6,0.68953784,0.00010402568
0.6,0.69953784,0.00010649825
0.6,0.70953784,0.00010898972
0.6,0.71953784,0.00011149963
0.6,0.72953784,0.00011402748
0.6,0.73953784,0.00011657281
0.6,0.74953784,0.00011913516
0.6,0.75953784,0.00012171406
0.6,0.76953784,0.00012430907
0.6,0.77953784,0.00012691975
0.6,0.78953784,0.00012954566
0.6,0.79953784,0.00013218635
0.6,0.80953784,0.0001348414
0.6,0.81953784,0.00013751037
0.6,0.82953784,0.00014019279
0.6,0.83953784,0.00014288829
0.6,0.84953784,0.00014559645
0.6,0.85953784,0.00014831689
0.6,0.86953784,0.00015104913
0.6,0.87953784,0.00015379276
0.6,0.88953784,0.00015654741
0.6,0.89953784,0.00015931268
0.6,0.90953784,0.00016208817
0.6,0.91953784,0.00016487351
0.6,0.92953784,0.00016766832
0.6,0.93953784,0.00017047221
0.6,0.94953784,0.00017328477
0.6,0.95953784,0.00017610565
0.6,0.96953784,0.0001789345
0.6,0.97953784,0.00018177081
0.6,0.98953784,0.00018461432
0.6,0.99953784,0.0001874647
0.6,1,0.0001875966

