gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
0.9,1e-05,7.0043709e-09
0.9,2.5e-05,1.751035e-08
0.9,4.75e-05,3.3267956e-08
0.9,8.125e-05,5.6901183e-08
0.9,0.000131875,9.2343654e-08
0.9,0.0002078125,1.4549029e-07
0.9,0.00032171875,2.2517079e-07
0.9,0.00049257812,3.4460032e-07
0.9,0.00074886719,5.2353396e-07
0.9,0.0011333008,7.91448e-07
0.9,0.0017099512,1.1921965e-06
0.9,0.0025749268,1.7907309e-06
0.9,0.0038723901,2.6825722e-06
0.9,0.0058185852,4.0066423e-06
0.9,0.0087378778,5.9614135e-06
0.9,0.013116817,8.8223047e-06
0.9,0.019685225,1.2953149e-05
0.9,0.029537838,1.8793678e-05
0.9,0.039537838,2.4299418e-05
0.9,0.049537838,2.9400545e-05
0.9,0.059537838,3.4120546e-05
0.9,0.069537838,3.848457e-05
0.9,0.079537838,4.2518925e-05
0.9,0.089537838,4.6250784e-05
0.9,0.099537838,4.9707892e-05
0.9,0.10953784,5.2918208e-05
0.9,0.11953784,5.5909495e-05
0.9,0.12953784,5.870887e-05
0.9,0.13953784,6.1342364e-05
0.9,0.14953784,6.3834502e-05
0.9,0.15953784,6.6208003e-05
0.9,0.16953784,6.8483517e-05
0.9,0.17953784,7.0679519e-05
0.9,0.18953784,7.2812295e-05
0.9,0.19953784,7.4896032e-05
0.9,0.20953784,7.6942972e-05
0.9,0.21953784,7.8963604e-05
0.9,0.22953784,8.0966877e-05
0.9,0.23953784,8.2960406e-05
0.9,0.24953784,8.4950661e-05
0.9,0.25953784,8.6943127e-05
0.9,0.26953784,8.8942451e-05
0.9,0.27953784,9.0952559e-05
0.9,0.28953784,9.2976744e-05
0.9,0.29953784,9.5017754e-05
0.9,0.30953784,9.7077868e-05
0.9,0.31953784,9.9158965e-05
0.9,0.32953784,0.00010126258
0.9,0.33953784,0.00010338997
0.9,0.34953784,0.00010554214
0.9,0.35953784,0.00010771991
0.9,0.36953784,0.00010992391
0.9,0.37953784,0.00011215464
0.9,0.38953784,0.00011441246
0.9,0.39953784,0.0001166976
0.9,0.40953784,0.00011901017
0.9,0.41953784,0.00012135016
0.9,0.42953784,0.00012371748
0.9,0.43953784,0.00012611192
0.9,0.44953784,0.00012853318
0.9,0.45953784,0.0001309809
0.9,0.46953784,0.00013345463
0.9,0.47953784,0.00013595389
0.9,0.48953784,0.00013847815
0.9,0.49953784,0.00014102683
0.9,0.50953784,0.00014359935
0.9,0.51953784,0.00014619507
0.9,0.52953784,0.00014881338
0.9,0.53953784,0.00015145364
0.9,0.54953784,0.0001541152
0.9,0.55953784,0.00015679742
0.9,0.56953784,0.00015949969
0.9,0.57953784,0.00016222134
0.9,0.58953784,0.00016496176
0.9,0.59953784,0.00016772033
0.9,0.60953784,0.00017049644
0.9,0.61953784,0.00017328947
0.9,0.62953784,0.00017609885
0.9,0.63953784,0.00017892398
0.9,0.64953784,0.00018176431
0.9,0.65953784,0.0001846193
0.9,0.66953784,0.00018748836
0.9,0.67953784,0.00019037105
0.9,0.68953784,0.00019326687
0.9,0.69953784,0.00019617538
0.9,0.70953784,0.00019909616
0.9,0.71953784,0.00020202879
0.9,0.72953784,0.00020497293
0.9,0.73953784,0.00020792823
0.9,0.74953784,0.00021089438
0.9,0.75953784,0.00021387108
0.9,0.76953784,0.00021685806
0.9,0.77953784,0.00021985506
0.9,0.78953784,0.00022286183
0.9,0.79953784,0.00022587814
0.9,0.80953784,0.00022890373
0.9,0.81953784,0.00023193839
0.9,0.82953784,0.00023498184
0.9,0.83953784,0.00023803382
0.9,0.84953784,0.00024109413
0.9,0.85953784,0.00024416253
0.9,0.86953784,0.00024723877
0.9,0.87953784,0.00025032259
0.9,0.88953784,0.00025341373
0.9,0.89953784,0.00025651184
0.9,0.90953784,0.0002596167
0.9,0.91953784,0.00026272813
0.9,0.92953784,0.00026584506
0.9,0.93953784,0.00026896681
0.9,0.94953784,0.00027209411
0.9,0.95953784,0.00027522679
0.9,0.96953784,0.00027836452
0.9,0.97953784,0.00028150695
0.9,0.98953784,0.00028465381
0.9,0.99953784,0.00028780476
0.9,1,0.00028795048

